"S7_ID","C7DESMTH","C7R4MSCL","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"C437",1,138.4,127.44,"4y college",1,"WHITE",0.34,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",1,145.15,150.88,"4y college",1,"WHITE",-0.06,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",0,155,151,"4y college",1,"WHITE",0.07,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",0,139.88,123.93,"4y college",1,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",0,148.44,147.17,"more than",1,"HISPANIC",-0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",1,117.33,93.88,"4y college",1,"WHITE",0.31,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",1,130.39,107.74,"4y college",0,"WHITE",1.02,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",1,155.43,141.18,"4y college",0,"HISPANIC",1.06,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",0,144.53,134.04,"more than",1,"WHITE",-0.05,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",0,114.2,104.16,"4y college",1,"BLACK",-0.24,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"A247",0,117.49,103.58,"4y college",0,"WHITE",0.98,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,142.57,126.96,"more than",1,"WHITE",0.5,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,153.75,139.33,"more than",0,"WHITE",0.93,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,143.04,122.9,"4y college",1,"HISPANIC",-0.08,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,130.42,116.79,"4y college",0,"WHITE",0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,137.54,60.98,"4y college",1,"WHITE",-0.45,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,141.42,127.2,"less than",0,"WHITE",-0.91,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,168.66,155.97,"4y college",1,"WHITE",0.79,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,159.27,144.74,"4y college",1,"WHITE",0.48,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,158.85,152.55,"4y college",0,"WHITE",0.97,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,161.38,142.62,"4y college",1,"WHITE",0.63,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,146.89,135.37,"less than",1,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,148.99,118.52,"more than",0,"WHITE",1.34,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,144.13,139.55,"less than",1,"WHITE",-0.23,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,167.43,142.1,"4y college",0,"WHITE",1.22,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,148.17,130.2,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,141.58,129.77,"less than",1,"WHITE",-0.49,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,170.37,154.01,"4y college",1,"WHITE",-0.17,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,147.87,141.14,"4y college",0,"WHITE",0.4,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",1,170.88,146.38,"4y college",0,"WHITE",1.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,156.03,119.28,"more than",0,"WHITE",0.69,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"A247",0,155.22,116.26,"4y college",1,"WHITE",0.08,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C437",0,95.56,97.65,"less than",1,"WHITE",-0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",0,159.29,100.84,"4y college",1,"WHITE",0.39,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C437",1,145.36,137.32,"4y college",0,"WHITE",0.14,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"A065",0,167.18,143.03,"4y college",1,"WHITE",0.58,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",0,131.33,101.08,"more than",0,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",1,169.57,141.83,"4y college",0,"WHITE",0.02,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",1,152.87,130.85,"4y college",1,"WHITE",0.77,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",0,166.81,119.59,"more than",0,"WHITE",0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",0,156.42,115.05,"less than",0,"WHITE",0.55,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",0,140.47,127.78,"more than",0,"WHITE",-0.18,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",1,170.37,151.34,"4y college",0,"WHITE",0.22,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",0,120.79,85.28,"4y college",0,"WHITE",-0.13,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",1,158.24,132.91,"more than",1,"WHITE",0.17,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",0,158.77,141.11,"more than",0,"WHITE",-0.01,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",1,162.54,148.62,"4y college",0,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"A065",1,167.71,135.02,"4y college",1,"WHITE",0.47,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0338",0,132.84,132.36,"more than",0,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",0,132.53,125.02,"less than",0,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",1,143.79,140.66,"4y college",1,"WHITE",1.41,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",1,143.88,133.2,"more than",0,"WHITE",0.89,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",0,140.43,128.33,"4y college",1,"Other",-0.09,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",0,136.64,115.42,"4y college",1,"WHITE",1.49,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",0,140.8,118.38,"4y college",1,"BLACK",0.48,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",0,154.6,126.51,"4y college",1,"Other",1.02,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",1,167.3,151.75,"4y college",0,"WHITE",0.78,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",1,149.62,137.13,"4y college",1,"WHITE",1.14,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0338",1,165.44,148.15,"more than",1,"WHITE",1.37,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"C634",0,167.09,134.78,"4y college",1,"WHITE",0.46,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,132.62,119.4,"4y college",1,"WHITE",-0.3,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,108.45,78.26,"more than",0,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,136.48,121.07,"less than",1,"WHITE",0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",1,155.38,148.27,"4y college",1,"WHITE",-0.1,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,140.54,108.49,"4y college",0,"WHITE",0.66,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",1,144.55,130.97,"4y college",0,"WHITE",0.5,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",1,147.76,133.16,"4y college",0,"WHITE",0.29,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,162.35,141.06,"4y college",1,"WHITE",-0.15,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",1,155.52,148.14,"more than",0,"WHITE",1.09,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,163.41,151.55,"less than",0,"WHITE",1.61,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",1,162.73,151.9,"4y college",1,"WHITE",0.37,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,147.3,117.07,"4y college",1,"WHITE",0.4,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,101.68,80.54,"less than",0,"HISPANIC",-0.21,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"C634",0,125.12,128.95,"less than",0,"WHITE",0.51,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0349",0,124.93,103.92,"more than",0,"WHITE",0.13,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,141.46,117.09,"4y college",0,"WHITE",-0.1,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",0,138.75,132.16,"4y college",0,"WHITE",-0.09,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",0,143.99,122.01,"4y college",1,"WHITE",-0.31,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",0,116.1,105.01,"4y college",0,"WHITE",0.95,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,133.64,131.71,"4y college",0,"WHITE",0.47,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",0,142.27,124.1,"4y college",1,"WHITE",-0.01,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,169.99,154.44,"4y college",1,"WHITE",0.59,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,157.39,142.47,"4y college",0,"WHITE",0.75,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,147.36,142.08,"more than",0,"WHITE",-0.45,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,157.23,138.02,"4y college",0,"WHITE",-0.05,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,142.81,129.64,"less than",1,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",0,143.55,129.04,"less than",1,"WHITE",0.47,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,138.15,135.9,"more than",0,"WHITE",0.85,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",1,172.2,167.44,"more than",1,"WHITE",0.72,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"0349",0,157.54,131.14,"4y college",1,"WHITE",-0.31,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","MIDWEST","LARGE AND MID-SIZE CITY"
"C424",0,161.55,105.66,"less than",0,"WHITE",-0.47,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,160.5,138.83,"4y college",1,"WHITE",0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,110.06,88.98,"less than",0,"WHITE",-0.57,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",1,171.39,156.59,"4y college",0,"WHITE",1.15,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,167.76,139.7,"less than",1,"WHITE",-0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",1,163.6,144.7,"4y college",0,"WHITE",-0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,128.98,112.49,"4y college",0,"WHITE",-0.52,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",1,147.65,113.32,"less than",1,"WHITE",-0.31,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,155.61,131.5,"4y college",1,"BLACK",-0.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",1,165.29,146.5,"4y college",0,"WHITE",-0.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,152.19,129.15,"less than",0,"WHITE",-0.31,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,163.39,129.25,"4y college",0,"WHITE",-0.07,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",1,167.18,151.57,"less than",1,"WHITE",-0.04,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,142.62,119.68,"less than",1,"WHITE",-0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",1,160.43,132.87,"more than",0,"WHITE",0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",1,167.92,131.9,"4y college",0,"WHITE",0.45,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,161.39,136.11,"4y college",1,"WHITE",0.02,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,157.14,128.51,"less than",0,"WHITE",-0.22,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,140.65,127.15,"less than",1,"WHITE",0.25,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C424",0,141.56,111.41,"4y college",1,"WHITE",0.57,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"C416",1,150.2,127.56,"4y college",1,"HISPANIC",-0.88,"AT OR ABOVE POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,149.62,114.93,"4y college",0,"HISPANIC",0.09,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,120.27,111.48,"4y college",1,"HISPANIC",-1.23,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,120.64,88.82,"4y college",1,"HISPANIC",-0.19,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,125.2,78.74,"less than",1,"WHITE",-0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,134.02,118.62,"4y college",1,"WHITE",0.93,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",1,160.37,145.83,"4y college",0,"WHITE",0.2,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",0,126.29,118.03,"4y college",0,"HISPANIC",-0.05,"AT OR ABOVE POVERTY THRESHOLD","less than high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",1,142.56,139.12,"4y college",1,"WHITE",-0.03,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",0,118.9,97.19,"less than",0,"WHITE",-0.41,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",0,122.56,95.47,"4y college",0,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",0,148.15,131.61,"4y college",0,"HISPANIC",-1.1,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,124.36,67.28,"4y college",1,"HISPANIC",-0.99,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,134.16,95.24,"4y college",0,"HISPANIC",-1,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,110.55,93.54,"less than",1,"HISPANIC",-0.62,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,136.67,123.51,"4y college",0,"HISPANIC",-0.86,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",0,142.54,138.78,"less than",0,"HISPANIC",-1.05,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,148.11,144.36,"more than",1,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",1,162.42,142.95,"more than",0,"WHITE",0.72,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,158.67,124.57,"less than",1,"WHITE",-0.14,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,113.2,106.54,"4y college",0,"WHITE",1.28,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",1,115.66,96.4,"4y college",0,"WHITE",0.3,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,153.46,137.66,"4y college",0,"WHITE",1.35,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",1,168.93,155.83,"more than",1,"WHITE",-2.38,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",0,137.05,142.89,"4y college",0,"WHITE",0.25,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",1,168.06,156.85,"more than",0,"WHITE",0.3,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",0,159.48,161.96,"4y college",0,"WHITE",0.74,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C407",1,169.63,128.97,"4y college",0,"WHITE",0.61,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"C416",0,168.12,143.79,"less than",0,"WHITE",0.74,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
